id_student,group_id,cluster,total_clicks,weighted_score,imd_band_ord,collaborative_clicks,collaboration_click_ratio,final_result
384725,12,0,4172.0,80.5,9.0,2028.0,0.48609779482262705,Pass
315744,12,0,3822.0,82.9,9.0,929.0,0.24306645735217164,Distinction
637665,13,0,2727.0,49.8,9.0,1492.0,0.5471213788045471,Pass
125018,13,0,2114.0,64.3,7.0,696.0,0.32923368022705773,Pass
2601889,13,0,2161.0,80.9,7.0,781.0,0.36140675613142065,Pass
382095,13,0,2251.0,77.0,5.0,1044.0,0.4637938693913816,Pass
175447,14,0,3305.0,70.0,5.0,1289.0,0.3900151285930408,Pass
2057803,14,0,2906.0,63.5,5.0,2024.0,0.6964900206469373,Pass
109155,14,0,2828.0,67.2,9.0,1026.0,0.3628005657708628,Pass
2375975,14,0,3619.0,71.7,6.0,1791.0,0.4948880906327715,Pass
155984,15,0,1693.0,79.0,7.0,229.0,0.13526284701712935,Pass
335764,15,0,1334.0,87.6,2.0,471.0,0.3530734632683658,Pass
342007,15,0,2276.0,83.9,7.0,317.0,0.13927943760984182,Pass
121349,15,0,2259.0,77.3,4.0,41.0,0.01814962372731297,Pass
2514898,16,0,1569.0,67.6,9.0,270.0,0.17208413001912046,Pass
287040,16,0,1933.0,73.1,4.0,362.0,0.18727366787377134,Pass
2148681,16,0,2083.0,72.5,4.0,581.0,0.27892462794047046,Pass
2473538,16,0,1334.0,54.5,8.0,375.0,0.2811094452773613,Pass
2642935,17,0,3676.0,83.7,8.0,1434.0,0.3900979325353645,Distinction
331358,17,0,4178.0,85.0,9.0,2119.0,0.5071804691239827,Distinction
228021,17,0,3840.0,82.2,4.0,776.0,0.20208333333333334,Distinction
70011,17,0,6105.0,81.3,4.0,2334.0,0.3823095823095823,Pass
1609002,18,0,914.0,79.8,7.0,46.0,0.05032822757111598,Pass
244246,18,0,1062.0,67.8,6.0,74.0,0.0696798493408663,Pass
503889,18,0,1811.0,69.5,3.0,338.0,0.18663721700717836,Pass
421455,18,0,1297.0,77.2,5.0,93.0,0.07170393215111796,Pass
2085209,19,0,6952.0,87.5,4.0,2283.0,0.3283947065592635,Pass
313937,19,0,6718.0,81.4,8.0,1863.0,0.2773146769871986,Pass
398349,19,0,4131.0,78.6,7.0,1441.0,0.34882595013313966,Pass
290164,19,0,5367.0,65.0,3.0,2340.0,0.4359977641140302,Pass
2581477,20,0,5219.0,47.8,4.0,2861.0,0.5481893082966085,Pass
1576513,20,0,14011.0,86.9,6.0,7017.0,0.5008207836699736,Distinction
2244332,20,0,12903.0,85.5,2.0,6048.0,0.46872820274354804,Distinction
293824,20,0,6825.0,58.7,5.0,3462.0,0.5072527472527473,Pass
148993,21,0,1857.0,84.0,3.0,1097.0,0.5907377490576198,Pass
164944,21,0,1275.0,62.7,4.0,690.0,0.5411764705882353,Pass
2521865,21,0,3626.0,61.7,5.0,1810.0,0.4991726420297849,Pass
1967783,21,0,1961.0,64.2,7.0,563.0,0.2870984191738909,Pass
2363863,22,0,4403.0,80.8,0.0,914.0,0.2075857369975017,Distinction
107489,22,0,3418.0,80.5,2.0,1136.0,0.3323581041544763,Pass
2680312,22,0,4826.0,79.7,9.0,1145.0,0.23725652714463324,Pass
2522927,22,0,3516.0,66.8,6.0,1143.0,0.3250853242320819,Pass
263543,23,0,1484.0,78.8,9.0,109.0,0.07345013477088949,Pass
350939,23,0,1363.0,69.4,8.0,149.0,0.10931768158473955,Pass
26192,23,0,1982.0,86.3,6.0,114.0,0.05751765893037336,Distinction
130034,23,0,1713.0,77.6,6.0,175.0,0.10215995329830706,Pass
2692514,24,0,5809.0,78.1,0.0,3723.0,0.6409020485453606,Pass
998493,24,0,9317.0,67.6,9.0,4559.0,0.4893205967586133,Pass
383723,24,0,6573.0,80.3,9.0,3201.0,0.4869922409858512,Pass
384203,24,0,4338.0,76.3,2.0,1887.0,0.43499308437067774,Pass
404356,25,0,1682.0,75.3,9.0,445.0,0.26456599286563615,Pass
1112555,25,0,2289.0,66.6,3.0,565.0,0.24683267802533856,Pass
124064,25,0,1970.0,87.6,6.0,431.0,0.21878172588832487,Distinction
373872,25,0,1407.0,65.0,4.0,110.0,0.07818052594171997,Pass
199636,26,0,1759.0,73.8,3.0,116.0,0.06594656054576464,Pass
228383,26,0,2323.0,70.1,5.0,45.0,0.019371502367628066,Pass
544253,26,0,1920.0,73.1,6.0,135.0,0.0703125,Pass
254625,26,0,1771.0,82.4,2.0,238.0,0.13438735177865613,Distinction
1045203,27,0,3037.0,79.4,0.0,792.0,0.26078366809351333,Pass
2240349,27,0,2746.0,77.2,2.0,570.0,0.20757465404224326,Pass
1926668,27,0,2023.0,61.4,3.0,57.0,0.028175976272862086,Pass
409703,27,0,2597.0,64.1,3.0,269.0,0.10358105506353485,Pass
323370,28,0,1937.0,71.3,3.0,262.0,0.1352607124419205,Pass
117818,28,0,1630.0,56.5,4.0,22.0,0.013496932515337423,Pass
381642,28,0,1194.0,79.6,2.0,14.0,0.011725293132328308,Withdrawn
298034,28,0,1623.0,72.4,7.0,269.0,0.16574245224892176,Fail
294496,29,0,1236.0,80.0,6.0,177.0,0.14320388349514562,Pass
377546,29,0,1615.0,83.4,5.0,297.0,0.18390092879256967,Distinction
101116,29,0,1611.0,82.9,6.0,655.0,0.4065797641216636,Pass
2330254,29,0,2352.0,70.9,4.0,939.0,0.399234693877551,Pass
1975209,30,0,2421.0,65.2,4.0,185.0,0.07641470466749277,Pass
287204,30,0,1777.0,74.4,0.0,367.0,0.20652785593697243,Pass
332884,30,0,1543.0,81.9,6.0,25.0,0.016202203499675955,Pass
281636,30,0,2288.0,83.1,2.0,352.0,0.15384615384615385,Pass
391249,31,0,2463.0,81.6,9.0,460.0,0.18676410881039382,Distinction
119902,31,0,2319.0,65.85714285714286,6.0,489.0,0.2108667529107374,Withdrawn
235068,31,0,2548.0,59.6,3.0,115.0,0.045133437990580845,Pass
167961,31,0,1981.0,76.3,7.0,244.0,0.12317011610297829,Pass
2574990,32,0,1557.0,56.7,6.0,227.0,0.1457931920359666,Fail
345519,32,0,1053.0,76.7,6.0,109.0,0.10351377018043685,Pass
311235,32,0,1085.0,64.9,5.0,347.0,0.31981566820276497,Pass
289449,32,0,1135.0,74.8,9.0,80.0,0.07048458149779736,Pass
484897,33,1,639.0,61.1,9.0,201.0,0.3145539906103286,Pass
537081,33,1,866.0,61.4,6.0,473.0,0.546189376443418,Fail
398171,33,1,1179.0,69.3,7.0,178.0,0.15097540288379982,Pass
596288,33,1,374.0,76.7,7.0,80.0,0.21390374331550802,Pass
2578676,34,1,1080.0,71.0,2.0,156.0,0.14444444444444443,Pass
2649800,34,1,1144.0,66.0,5.0,3.0,0.0026223776223776225,Pass
439305,34,1,551.0,70.5,6.0,39.0,0.07078039927404718,Pass
2677624,34,1,965.0,70.5,6.0,150.0,0.15544041450777202,Pass
410092,35,1,298.0,66.7,0.0,2.0,0.006711409395973154,Pass
2073016,35,1,161.0,56.5,3.0,22.0,0.13664596273291926,Fail
232307,35,1,649.0,64.9,5.0,96.0,0.14791987673343607,Pass
2369415,35,1,491.0,79.0,4.0,11.0,0.02240325865580448,Pass
141377,36,1,612.0,47.0,9.0,160.0,0.26143790849673204,Pass
235507,36,1,943.0,56.3,9.0,173.0,0.18345705196182396,Pass
446108,36,1,875.0,57.1,7.0,201.0,0.2297142857142857,Pass
431025,36,1,268.0,54.8,9.0,0.0,0.0,Fail
388147,37,1,407.0,39.666666666666664,6.0,108.0,0.26535626535626533,Fail
481022,37,1,75.0,50.8,2.0,23.0,0.30666666666666664,Fail
266524,37,1,307.0,54.9,3.0,62.0,0.20195439739413681,Pass
687698,37,1,174.0,54.3,2.0,40.0,0.22988505747126436,Pass
131390,38,1,68.0,78.7,9.0,27.0,0.39705882352941174,Pass
406671,38,1,344.0,77.7,8.0,80.0,0.23255813953488372,Pass
1268696,38,1,298.0,61.2,8.0,155.0,0.5201342281879194,Pass
1773377,38,1,527.0,74.4,9.0,20.0,0.03795066413662239,Pass
133922,39,1,515.0,77.9,0.0,50.0,0.0970873786407767,Pass
75255,39,1,885.0,83.0,4.0,81.0,0.09152542372881356,Pass
369834,39,1,1173.0,73.6,6.0,92.0,0.0784313725490196,Withdrawn
296424,39,1,1327.0,78.9,3.0,116.0,0.08741522230595328,Pass
418731,40,1,127.0,39.5,7.0,15.0,0.11811023622047244,Fail
236875,40,1,183.0,46.7,4.0,6.0,0.03278688524590164,Pass
301967,40,1,192.0,53.5,2.0,0.0,0.0,Pass
306646,40,1,144.0,52.7,8.0,24.0,0.16666666666666666,Pass
447481,41,1,740.0,55.5,7.0,322.0,0.43513513513513513,Pass
533068,41,1,346.0,60.4,9.0,106.0,0.3063583815028902,Pass
200804,41,1,908.0,64.1,9.0,165.0,0.1817180616740088,Pass
335247,41,1,553.0,71.3,8.0,146.0,0.2640144665461121,Pass
292775,42,1,1626.0,82.8,4.0,198.0,0.12177121771217712,Pass
315076,42,1,1231.0,67.3,0.0,156.0,0.12672623883021933,Pass
411971,42,1,1264.0,72.7,4.0,7.0,0.005537974683544304,Pass
358182,42,1,1695.0,74.3,8.0,146.0,0.08613569321533923,Pass
2688166,43,1,680.0,56.75,4.0,85.0,0.125,Pass
2595841,43,1,896.0,55.4,6.0,180.0,0.20089285714285715,Fail
79403,43,1,1629.0,58.4,8.0,38.0,0.02332719459791283,Withdrawn
330594,43,1,918.0,58.8,5.0,84.0,0.0915032679738562,Pass
2425993,44,1,730.0,68.0,4.0,11.0,0.015068493150684932,Pass
383600,44,1,725.0,78.8,7.0,25.0,0.034482758620689655,Pass
205494,44,1,826.0,64.0,3.0,61.0,0.07384987893462469,Pass
696578,44,1,998.0,77.0,6.0,165.0,0.1653306613226453,Withdrawn
2654628,45,1,1100.0,72.1,9.0,33.0,0.03,Pass
147756,45,1,1056.0,64.5,6.0,112.0,0.10606060606060606,Pass
2509639,45,1,1172.0,67.0,8.0,81.0,0.06911262798634812,Pass
285315,45,1,1140.0,86.3,7.0,104.0,0.0912280701754386,Pass
303985,46,1,381.0,76.9,7.0,50.0,0.13123359580052493,Pass
2569324,46,1,444.0,72.6,9.0,33.0,0.07432432432432433,Pass
470982,46,1,1060.0,62.1,2.0,74.0,0.06981132075471698,Pass
390890,46,1,283.0,68.2,0.0,39.0,0.13780918727915195,Pass
345440,47,1,149.0,73.0,9.0,0.0,0.0,Pass
292525,47,1,310.0,84.6,7.0,0.0,0.0,Pass
46844,47,1,323.0,66.5,3.0,97.0,0.30030959752321984,Pass
500113,47,1,463.0,76.4,7.0,24.0,0.05183585313174946,Pass
149962,48,1,138.0,68.9,6.0,52.0,0.37681159420289856,Pass
2551797,48,1,471.0,64.2,8.0,364.0,0.772823779193206,Pass
139033,48,1,757.0,61.7,9.0,107.0,0.14134742404227213,Fail
309142,48,1,516.0,65.8,9.0,110.0,0.2131782945736434,Pass
55104,49,1,1124.0,71.3,6.0,279.0,0.24822064056939502,Pass
58316,49,1,1149.0,72.9,7.0,45.0,0.0391644908616188,Pass
281077,49,1,796.0,72.6,5.0,126.0,0.15829145728643215,Pass
346118,49,1,589.0,72.1,2.0,207.0,0.35144312393887944,Pass
129955,50,1,876.0,80.2,5.0,3.0,0.003424657534246575,Withdrawn
1352868,50,1,1064.0,67.2,2.0,229.0,0.21522556390977443,Pass
2139353,50,1,1119.0,66.9,5.0,36.0,0.032171581769437,Pass
159954,50,1,799.0,70.2,4.0,72.0,0.09011264080100125,Withdrawn
2584873,51,1,1392.0,62.8,8.0,324.0,0.23275862068965517,Pass
483800,51,1,1208.0,71.0,3.0,331.0,0.2740066225165563,Pass
593987,51,1,1560.0,72.5,7.0,133.0,0.08525641025641026,Fail
364957,51,1,1328.0,61.1,7.0,229.0,0.17243975903614459,Pass
429858,52,1,226.0,82.9,6.0,10.0,0.04424778761061947,Distinction
468694,52,1,458.0,61.0,9.0,48.0,0.10480349344978165,Withdrawn
648130,52,1,361.0,53.5,8.0,28.0,0.07756232686980609,Withdrawn
626240,52,1,570.0,56.3,3.0,65.0,0.11403508771929824,Pass
1511033,53,1,620.0,75.3,5.0,0.0,0.0,Pass
402204,53,1,644.0,72.0,6.0,38.0,0.059006211180124224,Pass
1629771,53,1,501.0,79.5,6.0,88.0,0.17564870259481039,Distinction
2514368,53,1,286.0,82.9,5.0,0.0,0.0,Distinction
295060,54,1,1021.0,67.7,7.0,410.0,0.4015670910871694,Fail
375260,54,1,773.0,69.6,6.0,56.0,0.0724450194049159,Pass
485962,54,1,966.0,80.9,7.0,55.0,0.056935817805383024,Pass
375646,54,1,606.0,75.2,4.0,234.0,0.38613861386138615,Pass
275792,55,1,556.0,73.6,5.0,50.0,0.08992805755395683,Pass
62487,55,1,667.0,70.6,6.0,42.0,0.06296851574212893,Pass
518808,55,1,1440.0,74.1,9.0,89.0,0.06180555555555556,Pass
603834,55,1,340.0,61.4,5.0,119.0,0.35,Pass
396599,56,1,734.0,53.42857142857143,6.0,127.0,0.17302452316076294,Fail
329659,56,1,407.0,47.8,3.0,47.0,0.11547911547911548,Fail
2694788,56,1,76.0,32.2,7.0,3.0,0.039473684210526314,Fail
146503,56,1,329.0,61.9,3.0,42.0,0.1276595744680851,Pass
328024,57,1,2159.0,50.9,6.0,249.0,0.11533117183881426,Pass
130547,57,1,1046.0,58.0,7.0,103.0,0.09847036328871893,Pass
2432796,57,1,918.0,63.4,7.0,108.0,0.11764705882352941,Pass
174745,57,1,1499.0,66.1,7.0,211.0,0.14076050700466977,Pass
2436812,58,1,539.0,43.0,9.0,85.0,0.15769944341372913,Fail
2624961,58,1,363.0,62.2,8.0,71.0,0.19559228650137742,Fail
24734,58,1,469.0,47.5,6.0,159.0,0.3390191897654584,Pass
442064,58,1,395.0,52.0,7.0,76.0,0.19240506329113924,Pass
174024,59,1,727.0,61.3,6.0,0.0,0.0,Pass
295075,59,1,1535.0,63.7,7.0,226.0,0.1472312703583062,Pass
1336190,59,1,935.0,69.9,8.0,32.0,0.034224598930481284,Pass
108872,59,1,1281.0,60.9,8.0,330.0,0.2576112412177986,Pass
488990,60,1,501.0,54.3,8.0,53.0,0.10578842315369262,Pass
527801,60,1,431.0,48.875,9.0,46.0,0.10672853828306264,Fail
400147,60,1,327.0,60.0,6.0,29.0,0.08868501529051988,Pass
334441,60,1,250.0,40.2,6.0,5.0,0.02,Fail
354170,61,1,564.0,56.2,0.0,87.0,0.15425531914893617,Fail
1484804,61,1,1379.0,66.8,4.0,19.0,0.013778100072516316,Pass
260623,61,1,1102.0,69.5,4.0,244.0,0.22141560798548093,Pass
570317,61,1,959.0,75.4,7.0,206.0,0.21480709071949947,Pass
356170,62,1,768.0,73.25,3.0,38.0,0.049479166666666664,Pass
442132,62,1,163.0,67.5,2.0,4.0,0.024539877300613498,Pass
593846,62,1,756.0,64.5,5.0,23.0,0.03042328042328042,Withdrawn
424577,62,1,1761.0,57.2,6.0,87.0,0.049403747870528106,Pass
135400,63,1,269.0,48.4,9.0,2.0,0.007434944237918215,Pass
396655,63,1,459.0,42.3,4.0,98.0,0.21350762527233116,Fail
402727,63,1,341.0,74.0,6.0,45.0,0.13196480938416422,Pass
243510,63,1,504.0,42.5,6.0,133.0,0.2638888888888889,Fail
574505,64,1,847.0,41.7,4.0,6.0,0.0070838252656434475,Pass
639053,64,1,190.0,65.9,6.0,6.0,0.031578947368421054,Pass
2355470,64,1,210.0,53.2,8.0,6.0,0.02857142857142857,Pass
130636,64,1,220.0,59.7,6.0,30.0,0.13636363636363635,Pass
677186,65,1,607.0,57.3,7.0,57.0,0.09390444810543658,Pass
684180,65,1,123.0,62.7,6.0,15.0,0.12195121951219512,Pass
350156,65,1,462.0,51.3,3.0,32.0,0.06926406926406926,Pass
676546,65,1,256.0,73.57142857142857,8.0,9.0,0.03515625,Withdrawn
63165,66,1,904.0,52.1,8.0,177.0,0.19579646017699115,Pass
1721270,66,1,716.0,57.5,5.0,65.0,0.09078212290502793,Pass
2633226,66,1,792.0,54.1,5.0,0.0,0.0,Pass
31600,66,1,339.0,55.5,4.0,166.0,0.4896755162241888,Pass
2318055,67,1,1462.0,76.0,9.0,431.0,0.2948016415868673,Pass
2470694,67,1,779.0,67.0,5.0,403.0,0.5173299101412067,Fail
603861,67,1,137.0,64.0,6.0,0.0,0.0,Withdrawn
94961,67,1,881.0,61.7,7.0,131.0,0.14869466515323496,Pass
1471214,68,1,1161.0,71.4,6.0,203.0,0.1748492678725237,Pass
2397661,68,1,1605.0,49.9,2.0,442.0,0.2753894080996885,Pass
400682,68,1,1423.0,52.1,2.0,153.0,0.10751932536893886,Pass
2297896,68,1,469.0,64.0,7.0,29.0,0.06183368869936034,Pass
348807,69,1,362.0,75.7,8.0,60.0,0.16574585635359115,Pass
338407,69,1,229.0,72.0,6.0,47.0,0.2052401746724891,Pass
85144,69,1,622.0,78.8,5.0,194.0,0.31189710610932475,Pass
353665,69,1,360.0,63.9,7.0,99.0,0.275,Pass
263952,70,1,1198.0,89.9,6.0,257.0,0.21452420701168615,Distinction
294655,70,1,2113.0,77.9,7.0,353.0,0.16706105063890203,Fail
476603,70,1,1249.0,84.2,0.0,172.0,0.1377101681345076,Distinction
527100,70,1,817.0,91.6,7.0,78.0,0.09547123623011015,Distinction
401404,71,1,1232.0,76.7,9.0,66.0,0.05357142857142857,Pass
548120,71,1,766.0,73.7,8.0,64.0,0.0835509138381201,Pass
2467267,71,1,90.0,71.7,0.0,3.0,0.03333333333333333,Pass
252073,71,1,861.0,47.0,3.0,31.0,0.036004645760743324,Pass
387533,72,2,701.0,50.666666666666664,5.0,127.0,0.181169757489301,Fail
852847,72,2,81.0,32.0,6.0,1.0,0.012345679012345678,Fail
2404408,72,2,678.0,47.333333333333336,4.0,275.0,0.4056047197640118,Fail
95755,72,2,356.0,40.666666666666664,9.0,37.0,0.10393258426966293,Withdrawn
468120,73,2,106.0,39.333333333333336,5.0,4.0,0.03773584905660377,Fail
2273119,73,2,85.0,36.0,3.0,9.0,0.10588235294117647,Withdrawn
2168833,73,2,20.0,24.0,5.0,0.0,0.0,Withdrawn
1839386,73,2,205.0,40.0,3.0,60.0,0.2926829268292683,Withdrawn
152668,74,2,601.0,71.0,9.0,84.0,0.13976705490848584,Withdrawn
165226,74,2,643.0,77.0,3.0,109.0,0.16951788491446346,Fail
522482,74,2,163.0,75.0,7.0,26.0,0.15950920245398773,Withdrawn
1686551,74,2,496.0,80.0,4.0,101.0,0.20362903225806453,Withdrawn
341876,75,2,1330.0,68.66666666666667,6.0,806.0,0.606015037593985,Withdrawn
628088,75,2,424.0,80.0,7.0,191.0,0.45047169811320753,Withdrawn
175772,75,2,1611.0,85.0,9.0,937.0,0.5816263190564867,Withdrawn
2546445,75,2,1854.0,73.0,8.0,477.0,0.25728155339805825,Withdrawn
274947,76,2,249.0,49.9,4.0,57.0,0.2289156626506024,Withdrawn
151587,76,2,134.0,65.8,0.0,8.0,0.05970149253731343,Withdrawn
2434159,76,2,140.0,51.9,6.0,7.0,0.05,Pass
2540168,76,2,663.0,43.2,7.0,86.0,0.1297134238310709,Withdrawn
65002,77,2,5.0,67.33333333333333,7.0,0.0,0.0,Fail
415969,77,2,51.0,58.2,0.0,0.0,0.0,Fail
277880,77,2,9.0,67.2,6.0,0.0,0.0,Withdrawn
2576122,77,2,9.0,64.0,7.0,0.0,0.0,Fail
1689639,78,2,1597.0,73.0,6.0,677.0,0.42391984971822166,Withdrawn
721259,78,2,2232.0,65.0,5.0,1207.0,0.5407706093189965,Withdrawn
1456619,78,2,595.0,63.0,9.0,39.0,0.06554621848739496,Withdrawn
141506,78,2,341.0,75.0,2.0,140.0,0.41055718475073316,Fail
630142,79,2,455.0,83.33333333333333,9.0,110.0,0.24175824175824176,Withdrawn
2158048,79,2,624.0,86.0,4.0,96.0,0.15384615384615385,Withdrawn
1818673,79,2,316.0,86.0,2.0,41.0,0.12974683544303797,Fail
2474849,79,2,142.0,35.0,0.0,7.0,0.04929577464788732,Withdrawn
2429854,80,2,149.0,69.9,6.0,1.0,0.006711409395973154,Fail
268733,80,2,3.0,69.9,3.0,0.0,0.0,Fail
288994,80,2,125.0,69.9,3.0,20.0,0.16,Fail
111512,80,2,183.0,69.9,4.0,33.0,0.18032786885245902,Fail
275674,81,2,1680.0,44.0,2.0,222.0,0.13214285714285715,Withdrawn
440319,81,2,572.0,66.6,2.0,214.0,0.3741258741258741,Withdrawn
642878,81,2,484.0,41.333333333333336,7.0,79.0,0.16322314049586778,Withdrawn
337748,81,2,69.0,44.0,3.0,16.0,0.2318840579710145,Withdrawn
2045084,82,2,250.0,72.0,4.0,25.0,0.1,Fail
2207874,82,2,265.0,52.4,5.0,109.0,0.41132075471698115,Fail
2606802,82,2,305.0,29.0,6.0,9.0,0.029508196721311476,Fail
87431,82,2,786.0,50.0,6.0,169.0,0.21501272264631044,Withdrawn
470588,83,2,413.0,72.66666666666667,9.0,11.0,0.026634382566585957,Withdrawn
383180,83,2,441.0,69.8,7.0,13.0,0.02947845804988662,Withdrawn
348275,83,2,521.0,54.333333333333336,4.0,62.0,0.11900191938579655,Withdrawn
85092,83,2,639.0,58.0,3.0,164.0,0.2566510172143975,Pass
2690062,84,2,247.0,58.0,9.0,17.0,0.06882591093117409,Withdrawn
677281,84,2,86.0,69.9,8.0,7.0,0.08139534883720931,Fail
561467,84,2,402.0,69.9,8.0,79.0,0.19651741293532338,Withdrawn
1676594,84,2,160.0,69.9,8.0,15.0,0.09375,Withdrawn
185350,85,2,160.0,57.5,6.0,3.0,0.01875,Fail
183057,85,2,623.0,66.4,9.0,132.0,0.21187800963081863,Pass
2551932,85,2,511.0,46.666666666666664,5.0,116.0,0.22700587084148727,Withdrawn
277123,85,2,456.0,44.2,7.0,34.0,0.07456140350877193,Fail
